timestep,motioninput_0,motioninput_1,motioninput_2,motioninput_3,motioninput_4,motioninput_5,motioninput_6,motioninput_7,motioninput_8,motioninput_9,motioninput_10,motioninput_11,motioninput_12,motioninput_13,motioninput_14,motioninput_15,motioninput_16,motioninput_17,motioninput_18,motioninput_19,motioninput_20,motioninput_21,motioninput_22,motioninput_23,motioninput_24,motioninput_25,motioninput_26,motioninput_27,motioninput_28,motioninput_29,motioninput_30,motioninput_31,motioninput_32,motioninput_33,motioninput_34,motioninput_35,motioninput_36,motioninput_37,motioninput_38,motioninput_39,motioninput_40,motioninput_41,anchor_ori_0,anchor_ori_1,anchor_ori_2,anchor_ori_3,anchor_ori_4,anchor_ori_5,angvel_x,angvel_y,angvel_z,qpos_offset_0,qpos_offset_1,qpos_offset_2,qpos_offset_3,qpos_offset_4,qpos_offset_5,qpos_offset_6,qpos_offset_7,qpos_offset_8,qpos_offset_9,qpos_offset_10,qpos_offset_11,qpos_offset_12,qpos_offset_13,qpos_offset_14,qpos_offset_15,qpos_offset_16,qpos_offset_17,qpos_offset_18,qpos_offset_19,qpos_offset_20,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,qvel_6,qvel_7,qvel_8,qvel_9,qvel_10,qvel_11,qvel_12,qvel_13,qvel_14,qvel_15,qvel_16,qvel_17,qvel_18,qvel_19,qvel_20,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20
1,-0.4472152292728424,0.16914978623390198,0.16414399445056915,0.8127272725105286,0.0,-0.06845349073410034,-0.08448290824890137,-0.0005945383454672992,-0.4534914791584015,0.2940886616706848,0.0,-0.3031771779060364,0.13546410202980042,0.2788100242614746,0.37834373116493225,-0.2963826060295105,1.135312557220459,0.2244396209716797,-0.6112658381462097,0.12226568907499313,0.7559344172477722,-2.8877065181732178,0.30633360147476196,-0.12023746967315674,4.065662384033203,0.0,2.320702314376831,-0.28955787420272827,-0.4439781904220581,0.27468055486679077,0.3679722547531128,0.0,-0.34204721450805664,0.07091015577316284,0.29211193323135376,-0.41818171739578247,-2.0553157329559326,-0.21407604217529297,0.044418126344680786,0.4986077547073364,0.5540359616279602,-0.16940534114837646,0.9938790190056871,0.0020751093195374142,1.795850267018867e-08,0.9998235677735295,-0.11047395883325936,0.01866888443165577,-5.807007738470242e-19,5.168055201876054e-18,-2.6298716038960064e-19,0.0,-8.917170196050669e-20,7.549955509605113e-21,0.0,3.923665568736802e-20,0.0,0.0,1.2138700814746205e-19,-1.629754192944592e-20,0.0,3.7209134096990655e-20,0.0,5.819486632060965e-22,2.433204010784654e-20,-1.9142475511591613e-19,4.937676099988895e-21,7.960582234707789e-20,2.5075742051422536e-20,6.815138582617553e-20,-1.9415351482439897e-21,1.7710996406131544e-19,"[-9.765478276836599e-20, -5.371378434222529e-18, 5.951354914832439e-19, -5.350742168229898e-19, 2.139948413824419e-18, 7.700586359238566e-19, -6.576939095794781e-19, 7.25380648498011e-18, -1.0646902600315924e-18, -1.9328323329030865e-18, 2.158147681217462e-18, 8.526953696224966e-19, 6.037614262567027e-20, 1.216955560956821e-18, -1.106615665043535e-17, 2.607953205688956e-20, 5.604847370357068e-18, 1.1933300093737291e-18, 3.987687192270462e-18, 6.444428081783338e-21, 1.1358951323177075e-17]",1.1145340357353611e-18,6.565417712730844e-17,-6.8889145437639556e-18,6.106802036600782e-18,-4.996961251747197e-18,-1.3622337269493022e-18,7.506260590030584e-18,-8.882258491480376e-17,1.2785797112243262e-17,2.2059415415422927e-17,-4.966558054184179e-18,-1.5084181088621964e-18,-6.684430861984079e-19,-1.679725491884991e-17,2.5486079004068927e-17,-1.9858050411969478e-19,-1.2372725157305335e-17,-1.661650301122634e-17,-9.15832452912379e-18,4.854276289021021e-20,-2.5562077921129297e-17
2,-0.5049693584442139,0.17527645826339722,0.16173924505710602,0.8940405249595642,0.0,-0.022039441391825676,-0.09027406573295593,-0.009474102407693863,-0.4479978680610657,0.30144810676574707,0.0,-0.3100181221961975,0.13688230514526367,0.2846522629261017,0.3699800968170166,-0.33748891949653625,1.1310310363769531,0.2253279834985733,-0.601293683052063,0.13334640860557556,0.7525463104248047,-2.7852230072021484,0.279940664768219,-0.037083402276039124,3.818878650665283,0.0,2.1632041931152344,-0.24847574532032013,-0.45142123103141785,0.25758594274520874,0.27959346771240234,0.0,-0.3042876720428467,0.10104887187480927,0.28497204184532166,-0.44844523072242737,-1.8717215061187744,-0.33586323261260986,0.0741422176361084,0.4782959818840027,0.5815868973731995,-0.165441632270813,0.9937273931106024,0.006194729022184445,-0.003276180065273856,0.9996486514441528,-0.11178163903694716,0.025772058478678316,0.21864910654029762,0.5956048098051825,-0.32462487391091543,-0.030819949160184934,0.0017523746679178878,0.0026129303623346183,0.043251857264148486,0.011960004436631404,0.040954221000588514,0.003867274083883543,-0.01144651944838676,-0.013826625664799093,-0.04432773160751491,-0.0076493836269349615,0.00016302971063975047,0.011747302353055551,0.013323753598337321,0.043070012754702694,-0.04886009757281756,0.09288879224715757,0.006330970775562144,-0.036282816096806975,0.02118361322145114,0.026200247650763075,"[-2.7145238104441636, 0.1676269652979593, 0.25322514792388795, 3.6531953521937357, 1.0600107836307489, 3.696749976261425, 0.24957557792278337, -1.0997098025220788, -1.211873736980393, -3.827277469320717, -0.6814859212072942, -0.012621804238358385, 1.1504183524369005, 1.2413874964257692, 4.118325192907524, -4.4217101422733815, 9.059256038169869, 0.5691985203298537, -3.459421658388413, 1.9124916076004386, 2.444875201051941]",-29.38130313971767,18.328717178605324,-0.38104956119328603,2.3423149607388964,1.1197909367700054,3.500284786781039,-0.9197482137680639,-37.36679635463888,-1.0747576172327946,-13.15667282633978,-0.9368692236662379,-0.7123037609318841,24.30757239851831,25.909455234162596,22.895644284921417,-0.6851214305657072,19.217960399789085,4.186742712140222,-18.506322403913124,-0.7235636632354239,5.205937328126206
3,-0.5586241483688354,0.18034741282463074,0.1626606583595276,0.9654824137687683,0.0,0.018074678257107735,-0.09442193806171417,-0.018651386722922325,-0.44318804144859314,0.3052724003791809,0.0,-0.31534868478775024,0.13950605690479279,0.2902089059352875,0.36040592193603516,-0.3712514638900757,1.1218780279159546,0.22740530967712402,-0.5921339988708496,0.14552916586399078,0.7493167519569397,-2.477771043777466,0.20076371729373932,0.21237917244434357,3.0785276889801025,0.0,1.6907095909118652,-0.12522992491722107,-0.4737500548362732,0.20630359649658203,0.014460086822509766,0.0,-0.19101202487945557,0.19146353006362915,0.26355087757110596,-0.5392365455627441,-1.320939540863037,-0.7012337446212769,0.16331560909748077,0.4173591732978821,0.6642394065856934,-0.1535564661026001,0.9943832804791899,0.024469792692671855,-0.021309567405971473,0.999270893143029,-0.10367156717449534,0.029307189607870876,-0.2603801753982,0.5268262752569041,-0.3069304761746543,-0.0907311468960374,0.004789254090506503,0.00832309499305876,0.127308464234134,0.03454069158336678,0.05278100124545662,-0.00250798550542064,-0.03332172886129178,-0.03804492983464486,-0.09945953545389552,-0.017743490307538152,0.04277315537060969,0.0421211317124176,0.04024215175808631,0.14345303682887836,-0.14889044867926812,0.3131305392002718,0.014483636998970041,-0.12778035033938798,0.059707919273994554,0.10460124314819082,"[-2.8849507009809265, 0.4465230996031795, 0.23246870878277914, 4.178363639801057, 1.1876861628451842, -1.2079434018764408, -0.8785413152795867, -0.19970091288098446, -0.7108024556846534, -0.5189202770452186, 0.17944833668940186, 2.5735545158442723, 1.3878796642238989, 1.1856000352968452, 4.879682246186087, -4.795548176513905, 10.840166164042662, 0.27818782191779307, -4.773601725569079, 1.6340374203730645, 5.005743529767147]",-1.7035005086336383,17.381947234602826,-0.15037523293402355,-5.47726743334794,1.8061624998059345,11.833266243183921,19.69852329856353,-41.41359496396851,1.6329619728203397,-29.910522306550163,-3.811342198337332,-1.7970421467747313,6.587014533130086,-1.0747855691272523,2.7726992778098047,3.547109134341901,-5.606267773986531,-6.879523672946583,-3.6106358225573256,-2.6232523312400593,-1.3667749773886326
4,-0.6040802001953125,0.1833070069551468,0.17023441195487976,1.017181634902954,0.0,0.045588940382003784,-0.09528326243162155,-0.028424104675650597,-0.4397457242012024,0.30202651023864746,0.0,-0.31765860319137573,0.14454084634780884,0.2951942980289459,0.34841063618659973,-0.39032649993896484,1.102981686592102,0.23186060786247253,-0.5845993161201477,0.1599159836769104,0.7464040517807007,-2.148425579071045,-0.08421167731285095,0.0566631555557251,2.0295634269714355,0.0,0.6993234753608704,-0.05047507584095001,-0.4977090656757355,0.18240287899971008,-0.12960359454154968,0.0,-0.11186078190803528,0.33578723669052124,0.2686344087123871,-0.5778029561042786,-0.6183996796607971,-0.9031355381011963,0.2916436791419983,0.38140416145324707,0.7090941071510315,-0.13920515775680542,0.9942412037366029,0.04434931786826819,-0.039143864592975475,0.9977385508900662,-0.0997606468359022,0.050506653743934794,-0.7437629631726717,0.3914678040824102,0.3070254217461018,-0.14296845173747175,0.019627323604993745,0.010828975955356864,0.19876644616640926,0.05328642058731687,0.04300366281934198,-0.01066465478728984,-0.022182454139430326,-0.04616199334756195,-0.1047617987154223,-0.007139407686627642,0.05691819455968289,0.06274744075487115,0.06129325562647564,0.22843484780359755,-0.22289307437167458,0.49234740051600145,0.018291491565340996,-0.21621659455233652,0.08126181124931352,0.20147798538944678,"[-2.4482656147453885, 0.7682799495253841, 0.06751763714050837, 3.1817896230922638, 0.668047449625476, -0.00015985489243780515, -0.05454917400728998, 0.6951482463466984, -0.4354521952089226, -0.6698572308775179, 0.5654890118936686, 0.4809445803439497, 0.8774784128827506, 0.9992561375877652, 3.81173431771872, -2.9163751842815833, 7.509479909876983, 0.12137856456869571, -4.033987590894889, 0.7380747927601914, 4.236869284383959]",2.564123802809444,9.798692783141504,-1.6508982912833536,-5.823950321917227,-0.028468184724644185,10.432605782648624,7.238911177646047,-61.98620779002688,9.53938099711937,-40.879136763673216,-7.000791387505026,-5.649517026021556,-1.1503734230092952,-5.728674955146662,-2.0615443624775933,3.5608674418371637,-9.56563170188912,-5.916794603971988,3.9712721979932812,-1.2315149687267006,-6.178567173206558
5,-0.6445611715316772,0.1769789457321167,0.1649271845817566,1.0466649532318115,0.0,0.04604761675000191,-0.09644094109535217,-0.038559749722480774,-0.43589192628860474,0.3000882565975189,0.0,-0.31982311606407166,0.15293754637241364,0.30095428228378296,0.337293803691864,-0.39598745107650757,1.0857526063919067,0.2390710562467575,-0.5768778324127197,0.17389293015003204,0.7437485456466675,-1.9618570804595947,-0.43249762058258057,-0.4263736307621002,1.1964678764343262,0.0,-0.3152611553668976,-0.06158817559480667,-0.5113187432289124,0.19783154129981995,-0.0805683434009552,0.0,-0.10640844702720642,0.461858868598938,0.29768049716949463,-0.5448616743087769,-0.11537298560142517,-0.8406132459640503,0.3949615955352783,0.38840919733047485,0.6937239170074463,-0.12956112623214722,0.993981913373486,0.05942470570857956,-0.052109038610552015,0.9954353934557463,-0.09635664990787059,0.07467986212529094,-0.6879438937149831,0.44163717868999897,0.07281760016878197,-0.18234767445232947,0.033758330708845,0.007058131924188422,0.243800235570376,0.06137931388459,0.0470912917273659,-0.004833442553136558,-0.008199507061207536,-0.054029962017336335,-0.1322577736115818,0.0005069859160290134,0.0710995575843455,0.07858929723993274,0.08343380045626748,0.2962576982338753,-0.2555327103288614,0.59904893408543,0.016770072556294816,-0.28243164187965075,0.09496170695552351,0.2652417726963226,"[-1.6507283347174648, 0.6713611473593724, -0.3886104728953189, 1.6698020829179072, 0.27019568922088827, 0.15034139642004887, 0.4110113348349753, 0.6952084738747175, -0.30996865131689305, -1.7104168016270798, 0.2494638539607519, 0.8554421662575178, 0.7625076952948938, 1.2015820837706164, 3.2239516719971766, -0.8975983076268763, 4.1549097914810975, -0.20692880987424284, -2.841251776580541, 0.7797955423201383, 2.604569498242768]",9.448270683014647,9.755324139753913,-5.374689653005001,-2.453625203945979,0.06717935807039788,1.369155466017496,-10.349673867394774,-84.44617325552957,14.797440725464462,-41.77416716703115,-8.941287939613414,-16.404907340885178,-4.360928243455038,-5.148838950026862,0.052347731724918134,2.784897388898613,-6.971863393716503,-4.181646243254935,6.572689664424075,1.0066790594917663,-4.499647641127343
6,-0.6825544834136963,0.16600710153579712,0.15317946672439575,1.0650403499603271,0.0,0.032978493720293045,-0.09774678945541382,-0.04887685552239418,-0.4318324625492096,0.29880377650260925,0.0,-0.321914941072464,0.1630152016878128,0.3071015179157257,0.32661616802215576,-0.39494141936302185,1.06935715675354,0.24765907227993011,-0.5690629482269287,0.1876649409532547,0.7412216067314148,-1.6285687685012817,-0.554455041885376,-0.6630681753158569,0.003591179847717285,0.0,-0.5173054337501526,-0.09411126375198364,-0.488445907831192,0.2544984221458435,0.12484118342399597,0.0,-0.2118341624736786,0.5265552401542664,0.24472251534461975,-0.30557364225387573,0.07402598857879639,-0.633317232131958,0.4322085380554199,0.5447939038276672,0.6830561757087708,-0.03768354654312134,0.9942892039294312,0.0652282473215368,-0.056455372862098646,0.9931415160687679,-0.09056362307449818,0.09703197829576618,-0.6437413465065205,0.6082427688695518,-0.19811529784180304,-0.20940739237646305,0.04724413135314642,-0.009423327374050678,0.2672173293973181,0.06534808847507245,0.022649021909338568,0.003562334708158227,0.005333444064204892,-0.05754487425323931,-0.1716583770847424,0.0024553265755895117,0.08594740011064461,0.09288334103403799,0.10962880600046472,0.35676417522231346,-0.2557431477273824,0.6574686820930271,0.010915265358984535,-0.3269489703550042,0.1164108226806313,0.3091862267817193,"[-1.2099672180603678, 0.7129300666156196, -1.1113066306988046, 0.9337069775740658, 0.1904722170164826, -2.2781612070619244, 0.3904893649332878, 0.6776438904852709, -0.09436908930538371, -2.0660781538525055, 0.012281359710287203, 0.5462177474336887, 0.6849367799769963, 1.3740091729091206, 2.9292047504970715, 0.4374049425897588, 2.379430682732284, -0.3092933541102858, -1.902777532006329, 1.2914394824347553, 2.1236483786757088]",6.489743884012385,11.726338575528068,-6.240476737754294,0.8014907394532997,0.23466266985435869,-2.4320481221278314,-14.165869466666663,-99.25425534872898,15.194648035861205,-40.284021596817496,-8.258057989272505,-21.789480358983898,-6.154766284536241,-4.193859815756124,0.7054682910510834,1.6431946858249,-3.7778723625917774,0.2122625871643522,4.726808210246792,1.2163522564532676,-1.6501657289852458
7,-0.7097039222717285,0.15480074286460876,0.1384044587612152,1.0468086004257202,0.0,0.025355400517582893,-0.10020539164543152,-0.058097586035728455,-0.425711989402771,0.30508190393447876,0.0,-0.3282964825630188,0.17399975657463074,0.31074318289756775,0.325070858001709,-0.3930264115333557,1.0604199171066284,0.25635939836502075,-0.555086076259613,0.20121517777442932,0.7422412037849426,-1.2226343154907227,-0.5021970868110657,-0.5984306335449219,-1.246383786201477,0.0,-0.2837493121623993,-0.13180747628211975,-0.4618012309074402,0.32349005341529846,0.3138706088066101,0.0,-0.322510302066803,0.49620717763900757,0.13371706008911133,-0.03420934081077576,0.05528852343559265,-0.33831000328063965,0.39565151929855347,0.7518455386161804,0.633905827999115,0.09037405252456665,0.9952378426166891,0.06447814577010719,-0.05540033709466653,0.9912217203501054,-0.08020248919750003,0.11542127110817034,-0.602732367691181,0.7437669139312855,-0.407212314977454,-0.22794352613149832,0.0644761883020481,-0.03673898428584986,0.2745052312967098,0.06797711971308258,-0.04582776841881442,0.007412344871480875,0.017494108442830485,-0.05777678490564875,-0.2085673816888316,0.003768727692122652,0.08527150338037501,0.105887531290991,0.13803520539970215,0.41157140747758275,-0.24096916209355976,0.6935787511515685,0.0058609936186789675,-0.3567699655286748,0.14688628527340972,0.3513818124594984,"[-0.7578030409815932, 0.9804151121105376, -1.4839913290667037, 0.008255856383536486, 0.08937491572572602, -4.002040930457064, 0.057102146206092275, 0.553474320371442, 0.016622004366799246, -1.6513293413214831, 0.14236552958062615, -0.37814823069507275, 0.6257399474012488, 1.4440778920438042, 2.6175042392789796, 0.8233407430368301, 1.5464556199484696, -0.1984067780097412, -1.2907449846980525, 1.6431495862926107, 2.1516093398514666]",3.794600776074546,16.445778063181677,-4.050120230717454,-0.6928175914682498,0.17175840325273714,-0.7841020476385703,-9.603491386436641,-100.42512293173232,12.968748366017092,-28.210735435186688,-5.7701740793226906,-18.930784118740647,-6.994671852158006,-3.714126691029687,-0.33549769421047415,0.20818141012865166,-2.404993720509491,2.0558412012043368,2.6125086594805875,0.4968867387539606,-0.7810614925800894
8,-0.7314598560333252,0.14591921865940094,0.12924224138259888,1.015184998512268,0.0,0.021628521382808685,-0.10301908850669861,-0.0673489049077034,-0.41889286041259766,0.31135860085487366,0.0,-0.3348153531551361,0.1828634887933731,0.31245020031929016,0.32524779438972473,-0.39272987842559814,1.0558247566223145,0.2634851336479187,-0.5389891266822815,0.2130211740732193,0.7448365688323975,-0.8181199431419373,-0.32783299684524536,-0.17747171223163605,-2.2507576942443848,0.0,0.0084669329226017,-0.15843920409679413,-0.4640946090221405,0.3758929669857025,0.3137655556201935,0.0,-0.3328077495098114,0.33714398741722107,-0.01138150691986084,0.09495839476585388,-0.06609708070755005,-0.012660026550292969,0.27755871415138245,0.9108483791351318,0.5030885338783264,0.20856112241744995,0.9962827194791438,0.06116405008326373,-0.05250065780428893,0.9894055755310432,-0.06829658701105439,0.1316645969328779,-0.42713363895619827,0.7905779299312009,-0.577607176465882,-0.23515805421350672,0.08781741095284465,-0.06318111218301804,0.2534926120100386,0.0663528792590414,-0.12518695949918834,0.0004458131008009403,0.023544543666885277,-0.058168453474459834,-0.2280945978251439,0.013562917216073406,0.07302174170139808,0.11871494245183865,0.16701651453536498,0.45840512113881,-0.22842902624536535,0.717368398994813,0.004446259449173373,-0.37780721160158276,0.17992390005797448,0.3921266203060301,"[-0.12261911639430101, 1.2757667435615132, -1.1649304827184777, -1.7387635886229045, -0.2029193493992913, -3.782040905998555, -0.6216119347812957, 0.1112277562889038, -0.07384869020695875, -0.5061081456889228, 0.7618908777673445, -0.580157937194973, 0.6552263342957524, 1.4515824366439976, 2.1559818105337167, 0.4406930022523421, 0.9962868218676805, 0.011736158071352046, -0.9444542136910923, 1.6257114268594675, 1.9496186761139231]",-2.8159479198461246,16.83061215696191,-0.3288914984316875,-4.775250744883252,-0.21612557619957234,1.0549640667163054,1.3879206078276134,-83.42317877131386,9.942729873648865,-9.983569043742794,-3.515898050705859,-10.299214833843171,-4.67842317961534,-2.6980993308261905,-1.7867929879312658,-0.7270088494580715,-1.8335236323344164,2.1655812773075627,1.618530421996051,-0.08329157847020952,-0.8595133097449579
9,-0.742428719997406,0.14168742299079895,0.13130559027194977,0.9567782878875732,0.0,0.02569407783448696,-0.10654295980930328,-0.0766613706946373,-0.4106762707233429,0.3176325261592865,0.0,-0.34160879254341125,0.18748551607131958,0.3102879226207733,0.32886919379234314,-0.3956702947616577,1.0599135160446167,0.26746174693107605,-0.5186521410942078,0.22133871912956238,0.7505836486816406,-0.3422543406486511,-0.1706112176179886,0.21704547107219696,-3.40312123298645,0.0,0.34050196409225464,-0.14180633425712585,-0.44397488236427307,0.3957882523536682,0.3085710108280182,0.0,-0.3734596073627472,0.08069612085819244,-0.17984211444854736,0.3590993583202362,-0.4024878144264221,0.3240317106246948,0.16169100999832153,1.023721694946289,0.3838199973106384,0.35675764083862305,0.9968720196005273,0.0614322719136854,-0.05358135733923734,0.9878031628170963,-0.058096597862963305,0.14307685870211234,-0.1167973803168574,0.7227115982992773,-0.34741696982520065,-0.2323565321117826,0.11445809258611962,-0.07667291208289288,0.1983735304114329,0.057728709047080794,-0.18047743170367087,-0.018537869191528278,0.015081736626878171,-0.0604067459885727,-0.22185737730444416,0.0351837877868571,0.07400586662592448,0.13122447717682134,0.19472846557128226,0.4934959091826998,-0.22530936183001032,0.730673337408899,0.008097992702186894,-0.3944126445317964,0.20600886749830302,0.4271920498860098,"[0.2385781455356286, 1.2838846321151463, -0.334328763195301, -3.3251388331646887, -0.5754219840175894, -2.046321337230264, -0.9826363230175177, -0.9535557458032518, -0.04813253233084913, 0.6726216007588566, 1.033376976711802, -0.09646948411847245, 0.5591182324112881, 1.3330168360326948, 1.4998178119090573, 0.00134196897489601, 0.44793169545617006, 0.29849385592147226, -0.8199340737280199, 1.0553548945978095, 1.606137771399924]",-10.740257431326114,11.283851966854007,3.076034353498987,-5.040923018924552,-0.29283612664958536,1.9706572025172548,12.192991743071895,-52.911935428443556,6.865718397781315,2.4514556182782448,-2.1500796948331793,-3.2086802110713144,0.5724535300875067,-1.7322885870277442,-2.771950628630078,-0.7644194115956509,-1.4386183910894963,0.7445245197163444,1.0165398055497343,-0.6979021967011876,-0.7843635269138169
10,-0.7451500296592712,0.1390947699546814,0.13792406022548676,0.8790601491928101,0.0,0.03524859994649887,-0.10869134217500687,-0.08510790020227432,-0.4030613303184509,0.3237014412879944,0.0,-0.349753737449646,0.1860913336277008,0.30525651574134827,0.3396117687225342,-0.40882939100265503,1.0687860250473022,0.26995277404785156,-0.49804025888442993,0.22837397456169128,0.7591068744659424,-0.03297179937362671,-0.10914281010627747,0.38786306977272034,-4.127293586730957,0.0,0.5463380813598633,-0.09022559970617294,-0.4115024507045746,0.37322714924812317,0.3008827567100525,0.0,-0.42414218187332153,-0.14491155743598938,-0.2874337136745453,0.6261423230171204,-0.7856882810592651,0.5034208297729492,0.105980783700943,1.034031867980957,0.33573323488235474,0.4608631134033203,0.9965980313739886,0.0711415171026132,-0.06412616463964908,0.9864900793830513,-0.05177063714209416,0.14756763812963544,-0.015328438067617668,0.5479884993862335,-0.16034413942697492,-0.22449918275395597,0.14151539197369997,-0.07225266129400584,0.11763582611625001,0.04706969346641437,-0.1979264824554925,-0.044763133852504355,-0.012686904140034908,-0.061977596851104974,-0.1875207979466505,0.061282468008566654,0.09765232023688025,0.14239201265882556,0.21975730179430258,0.5162589920521341,-0.22596181464352952,0.7367926389800267,0.014013314782104118,-0.4069312228523051,0.21650544516473091,0.45906391384986933,"[0.4820318438669984, 1.414025122749102, 0.5412178994146755, -4.406000925130515, -0.45634367216375055, -0.20589513146868083, -1.4004702582388924, -1.5108783145429676, -0.09266947814629628, 2.303760614627734, 1.3823117228610298, 1.7898790584307762, 0.5520118675141746, 1.2074270141955956, 0.9605499216593806, -0.0166639494792701, 0.266760270629258, 0.26722990149958525, -0.47502010444979614, 0.1843000378721823, 1.6120923422031266]",-11.302727906942348,4.080209471585089,3.2005854869620167,-2.2440940800302513,0.1916212439845164,1.5287209919788671,19.428800066625428,-19.94591979275428,3.859689377036787,6.020454908876161,-1.4522384786859641,-2.3614934919096235,3.69515031619194,-0.9404261943653953,-2.383459246036262,-0.3218935763564429,-0.43316061403396766,-2.4997460305743755,1.2944739036576467,-0.9147983554321015,-0.9101952063909675
